	x		sin(x)		sin'(x)
  0.000000.2f	      0.00	      1.00
  0.000100.2f	      0.00	      1.00
  0.000200.2f	      0.00	      1.00
  0.000300.2f	      0.00	      1.00
  0.000400.2f	      0.00	      1.00
  0.000500.2f	      0.00	      1.00
  0.000600.2f	      0.00	      1.00
  0.000700.2f	      0.00	      1.00
  0.000800.2f	      0.00	      1.00
  0.000900.2f	      0.00	      1.00
  0.001000.2f	      0.00	      1.00
  0.001100.2f	      0.00	      1.00
  0.001200.2f	      0.00	      1.00
  0.001300.2f	      0.00	      1.00
  0.001400.2f	      0.00	      1.00
  0.001500.2f	      0.00	      1.00
  0.001600.2f	      0.00	      1.00
  0.001700.2f	      0.00	      1.00
  0.001800.2f	      0.00	      1.00
  0.001900.2f	      0.00	      1.00
  0.002000.2f	      0.00	      1.00
  0.002100.2f	      0.00	      1.00
  0.002200.2f	      0.00	      1.00
  0.002300.2f	      0.00	      1.00
  0.002400.2f	      0.00	      1.00
  0.002500.2f	      0.00	      1.00
  0.002600.2f	      0.00	      1.00
  0.002700.2f	      0.00	      1.00
  0.002800.2f	      0.00	      1.00
  0.002900.2f	      0.00	      1.00
  0.003000.2f	      0.00	      1.00
  0.003100.2f	      0.00	      1.00
  0.003200.2f	      0.00	      1.00
  0.003300.2f	      0.00	      1.00
  0.003400.2f	      0.00	      1.00
  0.003500.2f	      0.00	      1.00
  0.003600.2f	      0.00	      1.00
  0.003700.2f	      0.00	      1.00
  0.003800.2f	      0.00	      1.00
  0.003900.2f	      0.00	      1.00
  0.004000.2f	      0.00	      1.00
  0.004100.2f	      0.00	      1.00
  0.004200.2f	      0.00	      1.00
  0.004300.2f	      0.00	      1.00
  0.004400.2f	      0.00	      1.00
  0.004500.2f	      0.00	      1.00
  0.004600.2f	      0.00	      1.00
  0.004700.2f	      0.00	      1.00
  0.004800.2f	      0.00	      1.00
  0.004900.2f	      0.00	      1.00
  0.005000.2f	      0.00	      1.00
  0.005100.2f	      0.01	      1.00
  0.005200.2f	      0.01	      1.00
  0.005300.2f	      0.01	      1.00
  0.005400.2f	      0.01	      1.00
  0.005500.2f	      0.01	      1.00
  0.005600.2f	      0.01	      1.00
  0.005700.2f	      0.01	      1.00
  0.005800.2f	      0.01	      1.00
  0.005900.2f	      0.01	      1.00
  0.006000.2f	      0.01	      1.00
  0.006100.2f	      0.01	      1.00
  0.006200.2f	      0.01	      1.00
  0.006300.2f	      0.01	      1.00
  0.006400.2f	      0.01	      1.00
  0.006500.2f	      0.01	      1.00
  0.006600.2f	      0.01	      1.00
  0.006700.2f	      0.01	      1.00
