	x		f(x)	   f'(x) fd		f'(x) af		f''(x) fd		f''(x) ad
      0.09	      0.09	      1.00	      1.00	      0.54	      0.54
      0.09	      0.09	      1.00	      1.00	      0.54	      0.54
      0.09	      0.09	      1.00	      1.00	      0.54	      0.54
      0.10	      0.09	      1.00	      1.00	      0.54	      0.54
      0.10	      0.10	      1.00	      1.00	      0.54	      0.54
      0.10	      0.10	      1.00	      1.00	      0.54	      0.54
      0.10	      0.10	      1.00	      1.00	      0.54	      0.54
      0.10	      0.10	      1.00	      1.00	      0.54	      0.54
      0.10	      0.10	      0.99	      1.00	      0.54	      0.54
      0.10	      0.10	      0.99	      0.99	      0.54	      0.54
      0.10	      0.10	      0.99	      0.99	      0.54	      0.54
      0.10	      0.10	      0.99	      0.99	      0.54	      0.54
      0.10	      0.10	      0.99	      0.99	      0.54	      0.54
      0.11	      0.10	      0.99	      0.99	      0.54	      0.54
      0.11	      0.11	      0.99	      0.99	      0.54	      0.55
      0.11	      0.11	      0.99	      0.99	      0.54	      0.55
      0.11	      0.11	      0.99	      0.99	      0.54	      0.55
      0.11	      0.11	      0.99	      0.99	      0.54	      0.55
      0.11	      0.11	      0.99	      0.99	      0.54	      0.55
      0.11	      0.11	      0.99	      0.99	      0.55	      0.55
      0.11	      0.11	      0.99	      0.99	      0.55	      0.55
      0.11	      0.11	      0.99	      0.99	      0.55	      0.55
      0.11	      0.11	      0.99	      0.99	      0.55	      0.55
      0.12	      0.11	      0.99	      0.99	      0.55	      0.55
      0.12	      0.12	      0.99	      0.99	      0.55	      0.55
      0.12	      0.12	      0.99	      0.99	      0.55	      0.55
      0.12	      0.12	      0.99	      0.99	      0.55	      0.55
      0.12	      0.12	      0.99	      0.99	      0.55	      0.55
      0.12	      0.12	      0.99	      0.99	      0.55	      0.55
      0.12	      0.12	      0.99	      0.99	      0.55	      0.55
      0.12	      0.12	      0.99	      0.99	      0.55	      0.55
      0.12	      0.12	      0.99	      0.99	      0.55	      0.55
      0.12	      0.12	      0.99	      0.99	      0.55	      0.55
      0.13	      0.12	      0.99	      0.99	      0.55	      0.55
      0.13	      0.13	      0.99	      0.99	      0.55	      0.55
